degree_level,age,years_experience,previous_occupation,race,religious_affiliation,phone_number,email,last_degree_issued,ssn,gender,background_check_data
Masters,29,1,Data Analyst,Asian,Hindu,9191798955,user2497@example.com,Bachelors in CS,779317267,Female,Clear
PhD,38,3,Software Engineer,Asian,Buddhist,6022734806,user9852@example.com,Masters in CS,245959200,Female,Clear
PhD,55,29,Research Scientist,White,Buddhist,7522495699,user6158@example.com,Masters in CS,918894074,Female,Clear
Masters,50,5,Data Analyst,White,Hindu,2477214035,user7089@example.com,Bachelors in CS,496918317,Female,Clear
Masters,28,40,Project Manager,Black,Muslim,6585928859,user1402@example.com,Bachelors in CS,746736622,Female,Clear
PhD,39,21,Project Manager,White,None,8135435007,user5161@example.com,PhD in CS,426446122,Female,Clear
PhD,24,10,Software Engineer,Black,Christian,9751403059,user1081@example.com,Bachelors in CS,989898750,Female,Clear
PhD,24,29,Research Scientist,Black,Hindu,3053231193,user3777@example.com,Masters in CS,711716384,Female,Clear
Masters,44,17,Junior Developer,White,Hindu,7874592782,user3965@example.com,Bachelors in CS,133761653,Female,Clear
Bachelors,28,18,Software Engineer,Hispanic,None,4738385827,user5639@example.com,PhD in CS,832881076,Female,Clear
Bachelors,49,3,Software Engineer,Hispanic,Buddhist,9706260573,user7548@example.com,Bachelors in CS,357785895,Female,Clear
Bachelors,59,18,Software Engineer,Other,Buddhist,4758207442,user3646@example.com,Bachelors in CS,807926191,Male,Clear
Masters,37,24,Research Scientist,Hispanic,Hindu,8901617697,user1573@example.com,Masters in CS,870925255,Female,Clear
PhD,64,0,Project Manager,Black,Buddhist,3362684604,user8695@example.com,PhD in CS,534495889,Male,Clear
Masters,24,22,Research Scientist,Other,Hindu,7709423312,user7873@example.com,Masters in CS,338989862,Female,Clear
Bachelors,42,8,Data Analyst,Asian,Hindu,8338310574,user1266@example.com,PhD in CS,566925645,Male,Clear
Bachelors,59,31,Junior Developer,Hispanic,Muslim,8714387626,user1206@example.com,PhD in CS,154610808,Male,Clear
Bachelors,25,13,Data Analyst,Other,Muslim,8024897432,user2805@example.com,Bachelors in CS,411995961,Female,Clear
PhD,23,36,Software Engineer,Asian,Buddhist,8474188023,user3742@example.com,Bachelors in CS,126598680,Female,Clear
Bachelors,36,26,Project Manager,White,Christian,1547363402,user7181@example.com,Masters in CS,427983606,Female,Clear
Bachelors,21,13,Junior Developer,Black,Christian,7602309125,user1139@example.com,Bachelors in CS,765210595,Female,Clear
Bachelors,21,12,Data Analyst,White,Christian,5348952584,user3523@example.com,Masters in CS,934101365,Male,Clear
Masters,31,40,Project Manager,Asian,None,6463755662,user9755@example.com,Masters in CS,331460552,Female,Clear
Bachelors,57,30,Data Analyst,Other,Muslim,3366267161,user6308@example.com,Masters in CS,234196069,Female,Clear
PhD,31,2,Software Engineer,Other,Christian,7698057016,user1302@example.com,Masters in CS,830963678,Male,Clear
Masters,45,15,Project Manager,Hispanic,Muslim,8316655786,user5347@example.com,Bachelors in CS,537544365,Female,Clear
Bachelors,61,16,Junior Developer,Hispanic,None,2684660159,user7754@example.com,PhD in CS,360395903,Female,Clear
PhD,56,31,Junior Developer,Hispanic,Hindu,5309218886,user5012@example.com,Bachelors in CS,822957319,Female,Clear
Masters,31,4,Software Engineer,White,Christian,5116690704,user1623@example.com,Masters in CS,518881101,Female,Clear
Bachelors,50,12,Project Manager,Other,Buddhist,1187316118,user2403@example.com,PhD in CS,772260248,Female,Clear
Masters,35,3,Data Analyst,Other,None,1848999359,user6669@example.com,PhD in CS,777531059,Male,Clear
Masters,29,5,Software Engineer,Black,None,1918199239,user9558@example.com,Masters in CS,155960142,Male,Clear
Masters,38,2,Project Manager,White,Buddhist,6761144804,user4061@example.com,Masters in CS,275559697,Male,Clear
Masters,54,37,Data Analyst,Other,Hindu,8869541340,user9351@example.com,Bachelors in CS,559757097,Female,Clear
Masters,48,35,Software Engineer,Hispanic,Hindu,7206369528,user1564@example.com,PhD in CS,410485397,Female,Clear
Bachelors,45,0,Data Analyst,Asian,Muslim,5205405169,user9209@example.com,Masters in CS,582018099,Female,Clear
Bachelors,49,38,Project Manager,Other,Christian,3950299936,user9882@example.com,PhD in CS,563003865,Female,Clear
Masters,31,38,Junior Developer,Asian,Buddhist,7202191333,user5696@example.com,PhD in CS,552330301,Female,Clear
Bachelors,59,19,Research Scientist,Hispanic,Buddhist,5034874135,user1977@example.com,PhD in CS,942430072,Female,Clear
PhD,38,19,Project Manager,White,None,3599853500,user1287@example.com,Masters in CS,979376574,Male,Clear
Bachelors,36,1,Project Manager,White,Buddhist,1262203839,user6660@example.com,Masters in CS,702085799,Female,Clear
PhD,44,24,Junior Developer,White,Buddhist,2354736196,user3093@example.com,Bachelors in CS,960381939,Female,Clear
Masters,46,16,Junior Developer,White,Hindu,5384480021,user8823@example.com,Masters in CS,828624656,Female,Clear
Bachelors,42,33,Software Engineer,Hispanic,Hindu,4818935236,user9339@example.com,Bachelors in CS,418192663,Female,Clear
Bachelors,52,12,Software Engineer,Asian,Christian,6690284725,user6064@example.com,PhD in CS,701057636,Female,Clear
Bachelors,65,16,Data Analyst,Other,Christian,2173618822,user8479@example.com,PhD in CS,970666470,Male,Clear
PhD,43,14,Junior Developer,Other,Buddhist,3112566112,user3167@example.com,Masters in CS,613638687,Female,Clear
Bachelors,63,21,Software Engineer,Black,Hindu,9416100914,user4747@example.com,Masters in CS,269699327,Female,Clear
Masters,42,7,Software Engineer,Other,Muslim,1133754560,user3769@example.com,PhD in CS,427182280,Female,Clear
PhD,50,7,Junior Developer,Other,Muslim,2578211068,user1970@example.com,Bachelors in CS,291001438,Female,Clear
PhD,53,2,Research Scientist,White,Buddhist,7464203388,user8534@example.com,PhD in CS,651910997,Male,Clear
Bachelors,30,21,Data Analyst,Other,None,3039641832,user4950@example.com,PhD in CS,839247228,Female,Clear
PhD,37,7,Research Scientist,Hispanic,Buddhist,1368935020,user9792@example.com,PhD in CS,571261651,Female,Clear
PhD,41,37,Data Analyst,White,Muslim,1048339299,user3582@example.com,PhD in CS,926822014,Female,Clear
Bachelors,27,18,Research Scientist,White,Muslim,7642007294,user9369@example.com,Bachelors in CS,990483881,Male,Clear
Bachelors,30,14,Junior Developer,White,Christian,4959353160,user5165@example.com,Bachelors in CS,405263357,Female,Clear
Bachelors,52,33,Research Scientist,Asian,Christian,5859353213,user3651@example.com,Masters in CS,189714171,Male,Clear
Bachelors,22,27,Software Engineer,White,Muslim,3151525028,user5561@example.com,PhD in CS,890928846,Female,Clear
PhD,49,34,Junior Developer,White,Christian,3685900868,user4496@example.com,PhD in CS,298851957,Male,Clear
Bachelors,46,23,Project Manager,Other,Hindu,4490150304,user6867@example.com,Bachelors in CS,454625116,Female,Clear
Masters,40,35,Junior Developer,Other,Hindu,5263299330,user7615@example.com,Bachelors in CS,464837936,Female,Clear
Bachelors,60,22,Project Manager,Other,Buddhist,3148255390,user4675@example.com,Masters in CS,406552977,Male,Clear
Masters,63,33,Software Engineer,Asian,Buddhist,6369508445,user7860@example.com,Masters in CS,607757545,Female,Clear
PhD,31,15,Data Analyst,White,None,9868657791,user3417@example.com,PhD in CS,225556628,Female,Clear
Bachelors,51,18,Data Analyst,White,Buddhist,8761251848,user8607@example.com,PhD in CS,636223357,Female,Clear
PhD,54,40,Project Manager,White,Muslim,2476289483,user6445@example.com,Masters in CS,880466786,Male,Clear
PhD,34,22,Software Engineer,Asian,Christian,8419673097,user8682@example.com,Bachelors in CS,473401806,Female,Clear
Bachelors,45,1,Project Manager,White,Muslim,6263994976,user6818@example.com,Masters in CS,419385072,Male,Clear
Masters,44,31,Project Manager,Black,Hindu,6193683367,user8574@example.com,Masters in CS,968137775,Male,Clear
PhD,57,4,Research Scientist,Asian,Christian,1034606494,user6962@example.com,Masters in CS,470601542,Female,Clear
PhD,58,36,Junior Developer,Asian,Christian,5360388473,user6625@example.com,Bachelors in CS,206200467,Female,Clear
Masters,46,34,Software Engineer,Other,Buddhist,6464347232,user9696@example.com,PhD in CS,633892989,Female,Clear
Bachelors,55,14,Data Analyst,Other,Christian,3058974429,user4573@example.com,Bachelors in CS,954362007,Male,Clear
PhD,50,17,Data Analyst,Hispanic,Christian,5152429670,user6184@example.com,Masters in CS,936231322,Male,Clear
Masters,47,5,Software Engineer,Other,Buddhist,6939625267,user8246@example.com,Masters in CS,241921730,Male,Clear
Bachelors,37,11,Data Analyst,Hispanic,Muslim,5044334154,user5949@example.com,PhD in CS,158684553,Female,Clear
Bachelors,58,20,Project Manager,Hispanic,Hindu,6328056898,user8320@example.com,Masters in CS,316476617,Female,Clear
Bachelors,48,29,Project Manager,Other,None,5249121321,user2025@example.com,Masters in CS,349223819,Female,Clear
Masters,39,7,Data Analyst,Black,Hindu,5211540557,user6311@example.com,Masters in CS,924717138,Female,Clear
PhD,31,31,Data Analyst,White,None,9645810868,user3619@example.com,Masters in CS,569216344,Male,Clear
PhD,31,6,Data Analyst,White,Buddhist,8223117159,user5390@example.com,Masters in CS,384473880,Female,Clear
Bachelors,49,22,Research Scientist,Other,Hindu,5103718290,user5299@example.com,PhD in CS,813921460,Female,Clear
Bachelors,58,15,Research Scientist,Other,Hindu,7901340586,user5430@example.com,PhD in CS,735770344,Male,Clear
PhD,28,26,Junior Developer,Hispanic,Christian,3450013619,user4218@example.com,PhD in CS,465331999,Female,Clear
PhD,56,34,Data Analyst,Other,Muslim,1044202848,user1273@example.com,Masters in CS,215584489,Female,Clear
PhD,50,12,Project Manager,Other,Buddhist,1726080815,user4653@example.com,Masters in CS,475536426,Female,Clear
PhD,50,7,Software Engineer,Asian,Muslim,8547818244,user3820@example.com,Bachelors in CS,894728818,Female,Clear
PhD,33,35,Data Analyst,Other,Muslim,8408239551,user2162@example.com,Bachelors in CS,809669388,Female,Clear
PhD,54,24,Software Engineer,Other,Hindu,9065527113,user1958@example.com,PhD in CS,653534028,Male,Clear
Bachelors,45,39,Data Analyst,White,Buddhist,5616254083,user9310@example.com,PhD in CS,203489040,Male,Clear
Masters,47,2,Data Analyst,Asian,Christian,4175440419,user7792@example.com,Masters in CS,273397407,Female,Clear
Bachelors,20,1,Data Analyst,Asian,Hindu,1823210547,user1317@example.com,Masters in CS,372804543,Male,Clear
PhD,29,22,Junior Developer,Hispanic,Christian,9768152784,user6512@example.com,Bachelors in CS,191362738,Female,Clear
Masters,47,16,Junior Developer,Asian,Christian,4770804270,user8363@example.com,PhD in CS,363364072,Male,Clear
PhD,44,22,Project Manager,White,None,1476262267,user4777@example.com,Masters in CS,542980334,Female,Clear
PhD,58,6,Research Scientist,Hispanic,Hindu,8662017989,user5240@example.com,Masters in CS,689647037,Female,Clear
Bachelors,46,2,Junior Developer,Black,Christian,7213984087,user8127@example.com,PhD in CS,836007730,Female,Clear
Masters,38,3,Project Manager,Hispanic,Hindu,4436875495,user7747@example.com,PhD in CS,352317341,Female,Clear
Masters,38,33,Junior Developer,Asian,Christian,5269394352,user4504@example.com,Bachelors in CS,125511249,Female,Clear
PhD,64,36,Research Scientist,Black,Buddhist,9368516495,user6554@example.com,PhD in CS,411006529,Male,Clear
Masters,62,0,Research Scientist,White,None,4010809125,user2897@example.com,PhD in CS,873974567,Female,Clear
PhD,46,18,Software Engineer,Asian,Muslim,3021779585,user9493@example.com,PhD in CS,395889827,Female,Clear
Bachelors,35,35,Junior Developer,Hispanic,Christian,7598821326,user3086@example.com,Masters in CS,870835139,Female,Clear
Bachelors,51,33,Software Engineer,White,Muslim,9367136768,user3413@example.com,Masters in CS,984380798,Male,Clear
Bachelors,27,34,Software Engineer,Other,Buddhist,4418949517,user6050@example.com,Bachelors in CS,461731427,Female,Clear
PhD,55,8,Research Scientist,Hispanic,Christian,7015269249,user7155@example.com,Bachelors in CS,964573260,Female,Clear
Masters,48,11,Research Scientist,Asian,Christian,6507685614,user3016@example.com,PhD in CS,173217379,Male,Clear
Masters,43,20,Project Manager,Black,Muslim,6990696330,user4930@example.com,Bachelors in CS,505134830,Female,Clear
Masters,29,33,Research Scientist,Hispanic,Buddhist,3324971912,user9246@example.com,Masters in CS,312276567,Female,Clear
Bachelors,59,18,Project Manager,Asian,None,5913270310,user9429@example.com,Masters in CS,120191879,Female,Clear
Masters,36,3,Software Engineer,Asian,Christian,3057929541,user6941@example.com,Masters in CS,867398488,Male,Clear
PhD,34,8,Junior Developer,Other,Muslim,8576523846,user6837@example.com,Bachelors in CS,817069978,Male,Clear
PhD,51,19,Project Manager,Other,Hindu,1743786681,user3228@example.com,Bachelors in CS,242233307,Male,Clear
Masters,23,19,Junior Developer,Asian,Muslim,9129426735,user6707@example.com,Masters in CS,722572682,Female,Clear
PhD,65,24,Data Analyst,Hispanic,None,2100510566,user6047@example.com,Masters in CS,788410638,Female,Clear
PhD,34,36,Project Manager,White,Hindu,1113378081,user1502@example.com,Masters in CS,324556807,Male,Clear
PhD,53,38,Project Manager,Black,Buddhist,1122623044,user8352@example.com,Bachelors in CS,487792759,Male,Clear
PhD,45,27,Junior Developer,Hispanic,None,3338797104,user3850@example.com,Bachelors in CS,340270414,Female,Clear
PhD,39,24,Software Engineer,Other,Christian,2786057809,user8507@example.com,Bachelors in CS,483423983,Male,Clear
Masters,22,8,Project Manager,Hispanic,Christian,4783109577,user8467@example.com,PhD in CS,422130170,Female,Clear
Bachelors,31,6,Junior Developer,Hispanic,None,7593316851,user9370@example.com,PhD in CS,725068103,Female,Clear
Masters,53,18,Software Engineer,Hispanic,Hindu,6317065782,user3076@example.com,Bachelors in CS,894815885,Male,Clear
Masters,45,8,Data Analyst,White,Christian,8217377737,user3362@example.com,Bachelors in CS,676658184,Male,Clear
Bachelors,21,7,Data Analyst,White,Muslim,4077424537,user5155@example.com,Masters in CS,585230679,Female,Clear
PhD,48,16,Data Analyst,Asian,Christian,4055480413,user9178@example.com,PhD in CS,988426064,Male,Clear
Bachelors,63,29,Research Scientist,Other,Hindu,1670661271,user2026@example.com,Masters in CS,334916471,Female,Clear
Masters,39,18,Project Manager,Asian,Hindu,1394201509,user6533@example.com,Bachelors in CS,925453143,Female,Clear
Bachelors,20,29,Research Scientist,Other,None,4146743742,user1794@example.com,Bachelors in CS,928505998,Female,Clear
PhD,25,32,Project Manager,Asian,Christian,2567537811,user6216@example.com,Bachelors in CS,272103779,Female,Clear
Masters,37,1,Junior Developer,Hispanic,Christian,9325939806,user2378@example.com,Masters in CS,757238575,Male,Clear
Bachelors,38,20,Junior Developer,Hispanic,Hindu,8881761310,user1616@example.com,Bachelors in CS,684940552,Female,Clear
Masters,40,4,Junior Developer,Asian,Buddhist,9399841847,user1426@example.com,Masters in CS,378599290,Female,Clear
Bachelors,48,3,Software Engineer,Other,Hindu,6203036448,user5830@example.com,PhD in CS,318626974,Male,Clear
PhD,65,21,Software Engineer,Black,None,2639462840,user8421@example.com,PhD in CS,991954427,Male,Clear
Masters,36,11,Software Engineer,White,Christian,7222926379,user9813@example.com,PhD in CS,670367368,Female,Clear
Bachelors,31,30,Junior Developer,Asian,Buddhist,2743077535,user8159@example.com,Masters in CS,113482660,Male,Clear
PhD,64,22,Data Analyst,Hispanic,Muslim,4652964731,user1071@example.com,Bachelors in CS,499740748,Male,Clear
Masters,46,1,Junior Developer,Asian,Buddhist,1950765493,user2646@example.com,Bachelors in CS,676823816,Female,Clear
Masters,23,36,Software Engineer,Asian,None,2369758062,user9103@example.com,Bachelors in CS,874045896,Female,Clear
Bachelors,43,3,Software Engineer,Other,Christian,7451534999,user2404@example.com,Masters in CS,105492419,Male,Clear
Bachelors,30,17,Research Scientist,White,None,3866347756,user6057@example.com,Masters in CS,541984052,Female,Clear
PhD,65,21,Software Engineer,White,Buddhist,3099521124,user8604@example.com,Masters in CS,225981612,Female,Clear
PhD,57,11,Data Analyst,Black,Buddhist,7236054725,user5493@example.com,PhD in CS,497072933,Female,Clear
Bachelors,52,12,Software Engineer,White,Buddhist,6551593986,user2991@example.com,PhD in CS,778559052,Male,Clear
Masters,46,16,Software Engineer,White,Christian,2266214584,user1496@example.com,PhD in CS,257770225,Male,Clear
Masters,57,27,Project Manager,Other,None,8607584647,user1936@example.com,PhD in CS,649267189,Male,Clear
Masters,50,23,Research Scientist,Asian,Christian,1471085148,user9474@example.com,Bachelors in CS,799673720,Male,Clear
Masters,48,22,Research Scientist,Asian,Hindu,5729235401,user3622@example.com,PhD in CS,108791745,Female,Clear
Bachelors,22,29,Software Engineer,White,Hindu,5951405244,user9362@example.com,Bachelors in CS,254891711,Female,Clear
PhD,27,37,Data Analyst,Asian,Christian,7066263012,user5517@example.com,Bachelors in CS,211378603,Male,Clear
Masters,25,39,Research Scientist,Hispanic,Christian,2419033552,user3201@example.com,Masters in CS,736723779,Male,Clear
Masters,42,1,Research Scientist,Other,None,6306588078,user6065@example.com,PhD in CS,374557800,Female,Clear
Bachelors,22,1,Data Analyst,Black,Christian,8226146099,user3389@example.com,Bachelors in CS,600374685,Male,Clear
PhD,30,3,Research Scientist,White,Buddhist,1866833925,user2986@example.com,PhD in CS,356686638,Male,Clear
Masters,33,7,Project Manager,Black,Christian,5846109308,user3681@example.com,Bachelors in CS,777854906,Female,Clear
Bachelors,45,27,Project Manager,Black,Buddhist,9520851573,user1074@example.com,Bachelors in CS,588368450,Female,Clear
Masters,54,25,Junior Developer,Black,Hindu,5400043734,user6278@example.com,PhD in CS,404735083,Female,Clear
Masters,35,14,Junior Developer,White,Hindu,4273879418,user5526@example.com,Bachelors in CS,871918828,Male,Clear
Masters,47,8,Data Analyst,Black,Muslim,1313885787,user1332@example.com,PhD in CS,500643705,Female,Clear
Bachelors,23,13,Project Manager,Asian,Christian,8003581974,user4832@example.com,PhD in CS,467867061,Female,Clear
Masters,63,22,Data Analyst,Asian,Muslim,7747484016,user5963@example.com,Masters in CS,247256141,Female,Clear
Masters,52,31,Junior Developer,White,Hindu,3551817421,user5324@example.com,Masters in CS,551287501,Female,Clear
Bachelors,54,38,Junior Developer,White,None,1118751446,user7616@example.com,Masters in CS,422180110,Male,Clear
Masters,36,24,Software Engineer,Other,Christian,8832131550,user7957@example.com,Bachelors in CS,216568311,Male,Clear
Masters,63,20,Research Scientist,Asian,Christian,7673616480,user5779@example.com,PhD in CS,365259790,Male,Clear
Bachelors,30,8,Research Scientist,Asian,Christian,9635211633,user3373@example.com,Masters in CS,695708179,Female,Clear
Masters,60,33,Junior Developer,Hispanic,Buddhist,9428786982,user2906@example.com,PhD in CS,690983141,Female,Clear
Bachelors,26,25,Research Scientist,Hispanic,None,1409292208,user1284@example.com,Masters in CS,530514634,Female,Clear
PhD,51,16,Data Analyst,White,Muslim,8619680570,user4811@example.com,Bachelors in CS,783630006,Female,Clear
Masters,22,7,Junior Developer,Other,Christian,3698356996,user4502@example.com,Bachelors in CS,457019092,Male,Clear
Bachelors,26,37,Project Manager,White,Christian,8673291215,user1512@example.com,Bachelors in CS,665154353,Male,Clear
PhD,58,35,Data Analyst,Hispanic,Christian,5519289840,user8437@example.com,Bachelors in CS,708528470,Male,Clear
Bachelors,61,5,Junior Developer,White,None,6669346004,user2530@example.com,Masters in CS,487419057,Female,Clear
Masters,37,10,Junior Developer,White,None,5430646284,user4095@example.com,Bachelors in CS,670243236,Female,Clear
Masters,42,5,Project Manager,Other,Christian,3177420260,user1850@example.com,Masters in CS,223327529,Male,Clear
PhD,53,10,Junior Developer,Hispanic,Muslim,3410929315,user9713@example.com,Masters in CS,290874078,Male,Clear
PhD,40,13,Research Scientist,Other,Buddhist,8180127710,user6663@example.com,PhD in CS,929439064,Female,Clear
